subdataset_id,dataset_name,first_public_year,year_basis,in_scope_2022_2026,robot,robot_morphology,episodes,file_size_gb,mb_per_episode,registered_dataset_name,open_x_access_status,data_collect_method,action_space,control_frequency,citation,notes,parent_aggregate,source_url
OX041,DLR Sara Grid Clamp Dataset,2023,2023（官方表Citation字段）,true,DLR SARA,Single Arm,100,1.65,16.5,dlr_sara_grid_clamp_converted_externally_to_rlds,可从Open X注册清单获取,Expert Policy,EEF velocity,10,"@article{padalkar2023guided,
  title={A guided reinforcement learning approach using shared control templates for learning manipulation skills in the real world},
  author={Padalkar, Abhishek and Quere, Gabriel and Raffin, Antonin and Silv{\'e}rio, Jo{\~a}o and Stulp, Freek},
  journal={Research square preprint rs-3289569/v1},
  year={2023}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX042,DLR Wheelchair Shared Control,2020,2020（官方表Citation字段）,false,DLR EDAN,Single Arm,100,3.09,30.9,dlr_edan_shared_control_converted_externally_to_rlds,可从Open X注册清单获取,Human teleoperation using Shared Control Templates,EEF Position,5,"@inproceedings{vogel_edan_2020,
        title = {EDAN - an EMG-Controlled Daily Assistant to Help People with Physical Disabilities},
        language = {en},
        booktitle = {2020 {IEEE}/{RSJ} {International} {Conference} on {Intelligent} {Robots} and {Systems} ({IROS})},
        author = {Vogel, Jörn and Hagengruber, Annette and Iskandar, Maged and Quere, Gabriel and Leipscher, Ulrike and Bustamante, Samuel and Dietrich, Alexander and Hoeppner, Hannes and Leidner, Daniel and Albu-Schäffer, Alin},
        year = {2020}
}
@inproceedings{quere_shared_2020,
        address = {Paris, France},
        title = {Shared {Control} {Templates} for {Assistive} {Robotics}},
        language = {en},
        booktitle = {2020 {IEEE} {International} {Conference} on {Robotics} and {Automation} ({ICRA})},
        author = {Quere, Gabriel and Hagengruber, Annette and Iskandar, Maged and Bustamante, Samuel and Leidner, Daniel and Stulp, Freek and Vogel, Joern},
        year = {2020},
        pages = {7},
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX043,ASU TableTop Manipulation,2023,2023（官方表Citation字段）,true,UR5,Single Arm,110,0.72,6.5455,asu_table_top_converted_externally_to_rlds,可从Open X注册清单获取,Scripted,EEF Position,12.5,"@inproceedings{zhou2023modularity,
  title={Modularity through Attention: Efficient Training and Transfer of Language-Conditioned Policies for Robot Manipulation},
  author={Zhou, Yifan and Sonawani, Shubham and Phielipp, Mariano and Stepputtis, Simon and Amor, Heni},
  booktitle={Conference on Robot Learning},
  pages={1684--1695},
  year={2023},
  organization={PMLR}
}
@article{zhou2023learning,
  title={Learning modular language-conditioned robot policies through attention},
  author={Zhou, Yifan and Sonawani, Shubham and Phielipp, Mariano and Ben Amor, Heni and Stepputtis, Simon},
  journal={Autonomous Robots},
  pages={1--21},
  year={2023},
  publisher={Springer}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX044,Stanford Robocook,2023,2023（官方表Citation字段）,true,Franka,Single Arm,2460,124.62,50.6585,stanford_robocook_converted_externally_to_rlds,可从Open X注册清单获取,Scripted,EEF Position,5,"@article{shi2023robocook,
  title={RoboCook: Long-Horizon Elasto-Plastic Object Manipulation with Diverse Tools},
  author={Shi, Haochen and Xu, Huazhe and Clarke, Samuel and Li, Yunzhu and Wu, Jiajun},
  journal={arXiv preprint arXiv:2306.14447},
  year={2023}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX045,ETH Agent Affordances,2023,2023（官方表Citation字段）,true,Franka,Mobile Manipulator,120,17.27,143.9167,eth_agent_affordances,可从Open X注册清单获取,Expert Policy,EEF Position,66.6,"@inproceedings{schiavi2023learning,
  title={Learning agent-aware affordances for closed-loop interaction with articulated objects},
  author={Schiavi, Giulio and Wulkop, Paula and Rizzi, Giuseppe and Ott, Lionel and Siegwart, Roland and Chung, Jen Jen},
  booktitle={2023 IEEE International Conference on Robotics and Automation (ICRA)},
  pages={5916--5922},
  year={2023},
  organization={IEEE}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX046,Imperial Wrist Cam,2023,2023（最早可验证：Open X公开入口）,true,Sawyer,Single Arm,170,0.08,0.4706,imperialcollege_sawyer_wrist_cam,可从Open X注册清单获取,Human Kinesthetic,EEF Position,10,,未找到独立年份字段；按Open X于2023公开时的最早可验证入口记年。,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX047,CMU Franka Pick-Insert Data,2023,2023（官方表Citation字段）,true,Franka,Single Arm,520,50.29,96.7115,iamlab_cmu_pickup_insert_converted_externally_to_rlds,可从Open X注册清单获取,Human VR,EEF Position,20,"@inproceedings{saxena2023multiresolution,
title={Multi-Resolution Sensing for Real-Time Control with Vision-Language Models},
author={Saumya Saxena and Mohit Sharma and Oliver Kroemer},
booktitle={7th Annual Conference on Robot Learning},
year={2023},
url={https://openreview.net/forum?id=WuBv9-IGDUA}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX048,QUT Dexterous Manpulation,2023,2023（官方表Citation字段）,true,Franka,Mobile Manipulator,200,,,qut_dexterous_manipulation,可从Open X注册清单获取,Human VR,EEF Position,30,"@misc{ceola2023lhmanip,
author = {Federico Ceola, Krishan Rana, Niko S{\""u}nderhauf},
title = {LHManip: A Dataset for Long Horizon Manipulation Tasks.},
year = {2023}}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX049,MPI Muscular Proprioception,2023,2023（官方表Citation字段）,true,PAMY2,Single Arm,256,,,,未在Open X注册清单；需查原项目,Scripted,Desired pressures for the artificial muscles,500,"@article{guist2023robust,
  title={A Robust Open-source Tendon-driven Robot Arm for Learning Control of Dynamic Motions},
  author={Guist, Simon and Schneider, Jan and Ma, Hao and Berenz, Vincent and Martus, Julian and Gr{\""u}ninger, Felix and M{\""u}hlebach, Michael and Fiene, Jonathan and Sch{\""o}lkopf, Bernhard and B{\""u}chler, Dieter},
  journal={arXiv preprint arXiv:2307.02654},
  year={2023}
}",未进入Open X注册下载清单，需从原项目入口获取。,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX050,UIUC D3Field,2023,2023（官方表Citation字段）,true,Kinova Gen3,Single Arm,196,15.82,80.7143,uiuc_d3field,可从Open X注册清单获取,Scripted,EEF Position,1,"@article{wang2023d3field,
  title={D^3Field: Dynamic 3D Descriptor Fields for Generalizable Robotic Manipulation}, 
  author={Wang, Yixuan and Li, Zhuoran and Zhang, Mingtong and Driggs-Campbell, Katherine and Wu, Jiajun and Fei-Fei, Li and Li, Yunzhu},
  journal={arXiv preprint arXiv:},
  year={2023},
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX051,Austin Mutex,2023,2023（官方表Citation字段）,true,Franka,Single Arm,1500,20.79,13.86,utaustin_mutex,可从Open X注册清单获取,Human Spacemouse,EEF Position,20,"@inproceedings{shah2023mutex,
    title={{MUTEX}: Learning Unified Policies from Multimodal Task Specifications},
    author={Rutav Shah and Roberto Mart{\'\i}n-Mart{\'\i}n and Yuke Zhu},
    booktitle={7th Annual Conference on Robot Learning},
    year={2023},
    url={https://openreview.net/forum?id=PwqiqaaEzJ}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX052,Berkeley Fanuc Manipulation,2023,2023（官方表Citation字段）,true,Fanuc Mate,Single Arm,415,8.85,21.3253,berkeley_fanuc_manipulation,可从Open X注册清单获取,Human VR,EEF Position,10,"@article{fanuc_manipulation2023,
  title={Fanuc Manipulation: A Dataset for Learning-based Manipulation with FANUC Mate 200iD Robot},
  author={Zhu, Xinghao and Tian, Ran and Xu, Chenfeng and Ding, Mingyu and Zhan, Wei and Tomizuka, Masayoshi},
  year={2023},
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX053,CMU Food Manipulation,2021,2021（官方表Citation字段）,false,Franka,Single Arm,4200,720,171.4286,cmu_playing_with_food,可从Open X注册清单获取,Scripted,EEF Position,10,"@inproceedings{sawhney2021playing,
  title={Playing with food: Learning food item representations through interactive exploration},
  author={Sawhney, Amrita and Lee, Steven and Zhang, Kevin and Veloso, Manuela and Kroemer, Oliver},
  booktitle={Experimental Robotics: The 17th International Symposium},
  pages={309--322},
  year={2021},
  organization={Springer}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX054,CMU Play Fusion,2023,2023（官方表Citation字段）,true,Franka,Single Arm,576,6.68,11.5972,cmu_play_fusion,可从Open X注册清单获取,Human VR,EEF Position,5,"@inproceedings{chen2023playfusion,
  title={PlayFusion: Skill Acquisition via Diffusion from Language-Annotated Play},
  author={Chen, Lili and Bahl, Shikhar and Pathak, Deepak},
  booktitle={CoRL},
  year={2023}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX055,CMU Stretch,2023,2023（官方表Citation字段）,true,Hello Stretch,Mobile Manipulator,135,0.71,5.2593,cmu_stretch,可从Open X注册清单获取,Expert Policy,EEF Position,10,"@inproceedings{bahl2023affordances,
  title={Affordances from Human Videos as a Versatile Representation for Robotics},
  author={Bahl, Shikhar and Mendonca, Russell and Chen, Lili and Jain, Unnat and Pathak, Deepak},
  booktitle={CVPR},
  year={2023}
}
@article{mendonca2023structured,
  title={Structured World Models from Human Videos},
  author={Mendonca, Russell and Bahl, Shikhar and Pathak, Deepak},
  journal={CoRL},
  year={2023}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX056,RECON,2021,2021（官方表Citation字段）,false,Jackal,Wheeled Robot,11830,18.73,1.5833,berkeley_gnm_recon,可从Open X注册清单获取,Scripted,EEF velocity,3,"@inproceedings{shah2021rapid,
title={{Rapid Exploration for Open-World Navigation with Latent Goal Models}},
author={Dhruv Shah and Benjamin Eysenbach and Nicholas Rhinehart and Sergey Levine},
booktitle={5th Annual Conference on Robot Learning },
year={2021},
url={https://openreview.net/forum?id=d_SWJhyKfVw}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX057,CoryHall,2018,2018（官方表Citation字段）,false,RC Car,Wheeled Robot,7328,1.39,0.1897,berkeley_gnm_cory_hall,可从Open X注册清单获取,Expert Policy,EEF velocity,5,"@inproceedings{kahn2018self,
  title={Self-supervised deep reinforcement learning with generalized computation graphs for robot navigation},
  author={Kahn, Gregory and Villaflor, Adam and Ding, Bosen and Abbeel, Pieter and Levine, Sergey},
  booktitle={2018 IEEE international conference on robotics and automation (ICRA)},
  pages={5129--5136},
  year={2018},
  organization={IEEE}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX058,SACSoN,2023,2023（官方表Citation字段）,true,TurtleBot 2,Wheeled Robot,3000,7,2.3333,berkeley_gnm_sac_son,可从Open X注册清单获取,Expert Policy,EEF Position,10,"@article{hirose2023sacson,
  title={SACSoN: Scalable Autonomous Data Collection for Social Navigation},
  author={Hirose, Noriaki and Shah, Dhruv and Sridhar, Ajay and Levine, Sergey},
  journal={arXiv preprint arXiv:2306.01874},
  year={2023}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX059,RoboVQA,2023,2023（arXiv首次公开；ICRA 2024）,true,Google Robot,"3 embodiments: single-armed robot, single-armed human, single-armed human using grasping tools",61153,,,robot_vqa,可从Open X注册清单获取,Human VR,EEF Position,10,,首次预印本为2023；ICRA正式发表为2024。,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX060,ALOHA,2023,2023（官方表Citation字段）,true,ViperX Bimanual,Bi-Manual,451,,,,未在Open X注册清单；需查原项目,Human Puppeteering,EEF Position,50,"@article{Zhao2023LearningFB,
  title={Learning Fine-Grained Bimanual Manipulation with Low-Cost Hardware},
  author={Tony Zhao and Vikash Kumar and Sergey Levine and Chelsea Finn},
  journal={RSS},
  year={2023},
  volume={abs/2304.13705},
  url={https://arxiv.org/abs/2304.13705}
}",未进入Open X注册下载清单，需从原项目入口获取。,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX061,DROID,2024,2024（官方表Citation字段）,true,Franka,Single Arm,92233,1670,18.1063,droid,可从Open X注册清单获取,Human VR,EEF Position,15,"@article{khazatsky2024droid,
    title   = {DROID: A Large-Scale In-The-Wild Robot Manipulation Dataset},
    author  = {Alexander Khazatsky and Karl Pertsch and Suraj Nair and Ashwin Balakrishna and Sudeep Dasari and Siddharth Karamcheti and Soroush Nasiriany and Mohan Kumar Srirama and Lawrence Yunliang Chen and Kirsty Ellis and Peter David Fagan and Joey Hejna and Masha Itkina and Marion Lepert and Yecheng Jason Ma and Patrick Tree Miller and Jimmy Wu and Suneel Belkhale and Shivin Dass and Huy Ha and Arhan Jain and Abraham Lee and Youngwoon Lee and Marius Memmel and Sungjae Park and Ilija Radosavovic and Kaiyuan Wang and Albert Zhan and Kevin Black and Cheng Chi and Kyle Beltran Hatch and Shan Lin and Jingpei Lu and Jean Mercat and Abdul Rehman and Pannag R Sanketi and Archit Sharma and Cody Simpson and Quan Vuong and Homer Rich Walke and Blake Wulfe and Ted Xiao and Jonathan Heewon Yang and Arefeh Yavary and Tony Z. Zhao and Christopher Agia and Rohan Baijal and Mateo Guaman Castro and Daphne Chen and Qiuyu Chen and Trinity Chung and Jaimyn Drake and Ethan Paul Foster and Jensen Gao and David Antonio Herrera and Minho Heo and Kyle Hsu and Jiaheng Hu and Donovon Jackson and Charlotte Le and Yunshuang Li and Kevin Lin and Roy Lin and Zehan Ma and Abhiram Maddukuri and Suvir Mirchandani and Daniel Morton and Tony Nguyen and Abigail O'Neill and Rosario Scalise and Derick Seale and Victor Son and Stephen Tian and Emi Tran and Andrew E. Wang and Yilin Wu and Annie Xie and Jingyun Yang and Patrick Yin and Yunchu Zhang and Osbert Bastani and Glen Berseth and Jeannette Bohg and Ken Goldberg and Abhinav Gupta and Abhishek Gupta and Dinesh Jayaraman and Joseph J Lim and Jitendra Malik and Roberto Martín-Martín and Subramanian Ramamoorthy and Dorsa Sadigh and Shuran Song and Jiajun Wu and Michael C. Yip and Yuke Zhu and Thomas Kollar and Sergey Levine and Chelsea Finn},
    year    = {2024},
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX062,ConqHose,2024,2024（官方表Citation字段）,true,Spot,Mobile Manipulator,139,2.71,19.4964,conq_hose_manipulation,可从Open X注册清单获取,Scripted,EEF velocity,30,"@misc{ConqHoseManipData,
author={Peter Mitrano and Dmitry Berenson},
title={Conq Hose Manipulation Dataset, v1.15.0},
year={2024},
howpublished={https://sites.google.com/view/conq-hose-manipulation-dataset}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX063,DobbE,2023,2023（官方表Citation字段）,true,Hello Stretch,Mobile Manipulator,5208,21.1,4.0515,dobbe,可从Open X注册清单获取,Human collection using tools,EEF Position,3.75,"@misc{shafiullah2023dobbe,
    title={On Bringing Robots Home}, 
    author={Nur Muhammad Mahi Shafiullah and Anant Rai and Haritheja Etukuru and Yiqian Liu and Ishan Misra and Soumith Chintala and Lerrel Pinto},
    year={2023},
    eprint={2311.16098},
    archivePrefix={arXiv},
    primaryClass={cs.RO}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX064,FMB,2024,2024（官方表Citation字段）,true,Franka,Single Arm,1804,356.5,197.6164,fmb,可从Open X注册清单获取,Human VR,EEF velocity,10,"@article{luo2024fmb,
  title={FMB: a Functional Manipulation Benchmark for Generalizable Robotic Learning},
  author={Luo, Jianlan and Xu, Charles and Liu, Fangchen and Tan, Liam and Lin, Zipeng and Wu, Jeffrey and Abbeel, Pieter and Levine, Sergey},
  journal={arXiv preprint arXiv:2401.08553},
  year={2024}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX065,IO-AI Office PicknPlace,2023,2023（最早可验证：Open X公开入口）,true,Human,Human,3847,89.33,23.2207,io_ai_tech,可从Open X注册清单获取,Directly collected on human body with mocap devices and aruco markers,EEF Position,30,,未找到独立年份字段；按Open X于2023公开时的最早可验证入口记年。,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX066,MimicPlay,2023,2023（官方表Citation字段）,true,Franka,Single Arm,378,7.13,18.8624,mimic_play,可从Open X注册清单获取,Human VR,"Operational space control (OSC), which is similar to Task space position control but OSC is impedance control with consideration of the mass matrix. OSC is also used by VIOLA.",15,"@article{wang2023mimicplay,
    title={Mimicplay: Long-horizon imitation learning by watching human play},
    author={Wang, Chen and Fan, Linxi and Sun, Jiankai and Zhang, Ruohan and Fei-Fei, Li and Xu, Danfei and Zhu, Yuke and
    Anandkumar, Anima},
    journal={arXiv preprint arXiv:2302.12422},
    year={2023}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX067,MobileALOHA,2024,2024（官方表Citation字段）,true,MobileALOHA,Mobile Manipulator,276,47.83,173.2971,aloha_mobile,可从Open X注册清单获取,Human Puppeteering,Joint position,50,"@inproceedings{fu2024mobile,
  author    = {Fu, Zipeng and Zhao, Tony Z. and Finn, Chelsea},
  title     = {Mobile ALOHA: Learning Bimanual Mobile Manipulation with Low-Cost Whole-Body Teleoperation},
  booktitle = {arXiv},
  year      = {2024},
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX068,RoboSet,2023,2023（官方表Citation字段）,true,Franka,Single Arm,18250,178.65,9.789,robo_set,可从Open X注册清单获取,Human VR,Joint position,5,"@misc{bharadhwaj2023roboagent,
                            title={RoboAgent: Generalization and Efficiency in Robot Manipulation via Semantic Augmentations and Action Chunking},
                            author={Homanga Bharadhwaj and Jay Vakil and Mohit Sharma and Abhinav Gupta and Shubham Tulsiani and Vikash Kumar},
                            year={2023},
                            eprint={2309.01918},
                            archivePrefix={arXiv},
                            primaryClass={cs.RO}
                      }",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX069,TidyBot,2023,2023（官方表Citation字段）,true,TidyBot,Mobile Manipulator,24,0.02,0.8333,tidybot,可从Open X注册清单获取,Human writes preferred object placements in text form,Our dataset specifies a target receptacle for each object,N/A,"@article{wu2023tidybot,
  title = {TidyBot: Personalized Robot Assistance with Large Language Models},
  author = {Wu, Jimmy and Antonova, Rika and Kan, Adam and Lepert, Marion and Zeng, Andy and Song, Shuran and Bohg, Jeannette and Rusinkiewicz, Szymon and Funkhouser, Thomas},
  journal = {Autonomous Robots},
  year = {2023}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX070,VIMA,2023,2023（官方表Citation字段）,true,UR5,Single Arm,660103,1390,2.1057,vima_converted_externally_to_rlds,可从Open X注册清单获取,Scripted,Primitive skills (pick-place and push),N/A due to use of primitive skills,"@inproceedings{jiang2023vima,
  title     = {VIMA: General Robot Manipulation with Multimodal Prompts},
  author    = {Yunfan Jiang and Agrim Gupta and Zichen Zhang and Guanzhi Wang and Yongqiang Dou and Yanjun Chen and Li Fei-Fei and Anima Anandkumar and Yuke Zhu and Linxi Fan},
  booktitle = {Fortieth International Conference on Machine Learning},
  year      = {2023}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX071,SPOC,2023,2023（官方表Citation字段）,true,Hello Stretch,Single Arm,233000,765,3.2833,spoc,可从Open X注册清单获取,Scripted,Joint position,10,"@article{spoc2023,        
        author    = {Kiana Ehsani, Tanmay Gupta, Rose Hendrix, Jordi Salvador, Luca Weihs, Kuo-Hao Zeng, Kunal Pratap Singh, Yejin Kim, Winson Han, Alvaro Herrasti, Ranjay Krishna, Dustin Schwenk, Eli VanderBilt, Aniruddha Kembhavi},
        title     = {Imitating Shortest Paths in Simulation Enables Effective Navigation and Manipulation in the Real World},
        journal   = {arXiv},
        year      = {2023},
        eprint    = {2312.02976},
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX072,Plex RoboSuite,2023,2023（官方表Citation字段）,true,Franka,Single Arm,450,1.26,2.8,plex_robosuite,可从Open X注册清单获取,Human Keyboard,EEF Position,20,"@inproceedings{thomas2023plex,
    title={PLEX: Making the Most of the Available Data for Robotic Manipulation Pretraining},
    author={Garrett Thomas and Ching-An Cheng and Ricky Loynd and Felipe Vieira Frujeri and Vibhav Vineet and Mihai Jalobeanu and Andrey Kolobov},
    booktitle={CoRL},
    year={2023}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
