"id","name","year","category","origin","full_body_tier","embodiment","robot_platform","tasks","modalities","learning_goal","collection_system","teleoperation","synchronization","control_frequency","storage_format","episode_structure","action_representation","hours","trajectories","robots","tasks_count","objects_count","scenes_count","access_status","license","primary_url","secondary_url","evidence_level","limitations","last_verified"
"E051","H-Tac","2026","人类触觉-动作上游数据","真实人类","上游","人类手","穿戴/第一视角触觉系统","300+细粒度接触任务","第一视角视频;触觉;统一动作表征","触觉预训练;人到机器人迁移","人体触觉采集系统","人体示范","论文对齐管线","未核验","预印本数据格式","episode","统一人体/机器人动作空间","160","135000","","300+","","","预印本；开放状态待核验","未核验","https://arxiv.org/abs/2607.01067","","B","作者报告规模；人体到机器人仍需统一触觉与动作空间假设","2026-09-01"
"E052","TactiDex","2026","真实触觉benchmark/数据","真实机器人","非full-body","单/双灵巧手","论文平台","接触级人形化灵巧操作","全手触觉;运动学;物体状态;视觉;力;动作","触觉奖励;人到机器人迁移;评测","触觉同步采集系统","人体/机器人示范","多粒度触觉-运动对齐","未核验","预印本数据格式","episode","手部动作","","","","单/双手多任务","","","预印本；下载与许可待核验","未核验","https://arxiv.org/abs/2607.09190","https://tactidex.github.io/","B","新预印本，尚缺独立复现；不含腿和全身平衡","2026-09-01"
"E053","Humanoid Manipulation Interface (HMI)","2026","robot-free到全身humanoid采集系统","人体示范+真实humanoid","核心","双足humanoid全身","论文平台","whole-body manipulation","人体视频/姿态;机器人状态;动作","robot-free示范迁移;全身操作","无机器人现场的人体示范+retargeting","人体示范","论文管线","实时/离线混合","预印本数据格式","示范序列/任务episode","全身动作","","","","多项","","","预印本；数据开放状态待核验","未核验","https://arxiv.org/abs/2602.06643","","B","需核验机器人自由示范的物理可执行性与任务数据规模","2026-09-01"
"E054","BifrostUMI / HumanoidUMI lineage","2026","robot-free到全身humanoid采集系统","人体手持示范+humanoid","核心","双足humanoid全身","论文平台","移动与全身操作","手持设备视觉/轨迹;人体/机器人状态;动作","跨本体示范迁移;全身操作","UMI式robot-free采集+全身retargeting","手持/人体示范","论文管线","未核验","预印本数据格式","示范序列/episode","全身动作","","","","多项","","野外场景","两个预印本版本；开放状态待核验","未核验","https://arxiv.org/abs/2605.03452","https://arxiv.org/abs/2606.27239","B","命名与版本关系需按作者最终发布确认；不重复计数规模","2026-09-01"
"E055","OpenHLM","2026","humanoid loco-manipulation配方/数据管线","仿真+真实humanoid","核心","双足humanoid全身","论文平台","loco-manipulation","视觉;本体;动作;任务状态","全身RL;模仿;Sim2Real","仿真训练与真实部署管线","参考动作/策略","仿真-真实对齐","实时","预印本/代码状态待核验","episode","全身动作","","","","多项","","","预印本；数据开放状态待核验","未核验","https://arxiv.org/abs/2606.22174","","B","标题为经验配方，不等同公开规模数据集","2026-09-01"
"E056","OASIS","2026","humanoid仿真数据采集到真实部署管线","仿真生成+真实humanoid","核心","双足humanoid全身","论文平台","loco-manipulation","仿真状态;视觉;动作;任务状态","合成数据;Sim2Real;全身策略","仿真任务采集与迁移","策略生成","仿真-真实对齐","未核验","预印本数据格式","episode","全身动作","","","","多项","","","预印本；数据/代码状态待核验","未核验","https://arxiv.org/abs/2606.08548","","B","需区分生成管线与可下载轨迹；真实覆盖规模待核验","2026-09-01"
"E057","SUGAR","2026","人类视频驱动humanoid学习管线","人类视频+仿真+真实humanoid","核心","双足humanoid全身","论文平台","可泛化loco-manipulation","人类视频;姿态/物体;机器人状态;动作","视频到全身技能;retargeting;RL","视频重建+retargeting+策略训练","robot-free视频示范","多阶段对齐","未核验","预印本数据格式","视频片段/任务episode","全身动作","","","","多项","","","预印本；开放状态待核验","未核验","https://arxiv.org/abs/2605.20373","","B","视频缺失力和动作；物理修复与许可是主要风险","2026-09-01"
"E058","HALOMI","2026","人类示范驱动humanoid loco-manipulation","人类示范+真实/仿真humanoid","核心","双足humanoid全身","论文平台","带主动感知的loco-manipulation","视觉;人体/物体状态;机器人本体;动作","主动感知;模仿;全身控制","人体示范+感知/控制学习","论文系统","论文对齐","未核验","预印本格式","episode","全身动作","","","","多项","","","预印本；数据开放状态待核验","未核验","https://arxiv.org/abs/2606.18772","","B","数据规模、失败样本和开放许可需进一步核验","2026-09-01"
"E059","ZeroWBC","2026","人类第一视角到全身交互方法/数据管线","ego人类数据+humanoid","核心","双足humanoid全身","论文平台","自然全身人-物交互","第一视角视频;人体动作;物体;机器人状态;动作","人类ego数据到全身控制","ego数据重建+retargeting+控制学习","robot-free人类数据","多阶段对齐","未核验","预印本格式","interaction clip/episode","全身动作","","","","多项","","","预印本；数据开放状态待核验","未核验","https://arxiv.org/abs/2603.09170","","B","第一视角遮挡和缺失全局姿态/接触力，需要强重建假设","2026-09-01"
"E060","CHORD benchmark/data","2026","大规模仿真双手/全身交互benchmark","人体示范重建+仿真+真实验证","核心","双手灵巧操作并扩展全身","双臂灵巧手/whole-body humanoid","4739双手任务；部分全身泛化","人体手物动作;接触wrench;机器人状态;动作","接触引导RL;人到机器人;全身泛化","MoCap与视频重建任务+仿真生成","人体示范/策略生成","仿真对齐","未核验","预印本数据格式","任务episode","双手/全身动作","","4739任务定义","多平台","4739","","","预印本；数据下载状态待核验","未核验","https://arxiv.org/abs/2607.00033","","B","作者在1831项评测；全身结果是扩展实验，需与双手主体区分","2026-09-01"
"E061","Physical Intelligence π0/π0.5 training mixture","2024-2025","商业/论文内部训练数据混合","真实机器人+公开数据汇聚","非full-body","多种机械臂与移动操作本体","多平台","通用操作与语言条件任务","视觉;语言;本体状态;动作","VLA预训练;跨本体策略","机构内部多机器人采集+公开集","多种，未完整公开","未完整公开","未完整公开","内部格式/部分公开代码接口","episode","多本体动作","","未公开","多种","多任务","","多场景","模型/论文公开；完整训练混合未作为数据集开放","机构条款","https://www.pi.website/blog/pi0","https://arxiv.org/abs/2410.24164","B","不能从模型能力反推出可获得数据规模；公开与私有比例未完全披露","2026-09-01"
"E062","NVIDIA Isaac GR00T data stack","2025-2026","商业+开放工具/内部训练混合","真实机器人+人类视频+合成","扩展","humanoid及多种机器人","GR00T支持平台","通用humanoid操作与多任务控制","视觉;语言;状态;动作;合成数据","机器人基础模型;VLA;合成数据","遥操作、仿真生成与数据管线组合","多种","平台相关","平台相关","LeRobot/Isaac生态及内部格式","episode","多本体动作","","未完整公开","多种","多任务","","多场景","模型、工具和部分样例开放；完整预训练混合未开放","NVIDIA条款","https://developer.nvidia.com/isaac/gr00t","https://github.com/NVIDIA/Isaac-GR00T","B","支持humanoid不代表公开训练数据包含严格whole-body比例；商业数据无法独立审计","2026-09-01"
"E063","Figure Helix internal humanoid data","2025-2026","商业/内部humanoid数据","真实机器人","扩展","humanoid上身/双臂为主","Figure humanoid","通用双臂操作与物体交互","视觉;语言;本体状态;动作","VLA;通用humanoid操作","企业内部遥操作与机器人采集","未公开","未公开","未公开","内部格式","episode","双臂/机器人动作","","未公开","企业fleet","多任务","","多场景","模型展示公开；训练数据未开放","商业私有","https://www.figure.ai/news/helix","","B","公开材料不足以审计规模、失败比例、格式和腿部全身动作覆盖","2026-09-01"
"E064","1X World Model Dataset + internal home data","2024-2026","公开子集+商业内部机器人数据","真实机器人+人类遥操作","对照","轮式humanoid移动操作（公开页为EVE）","1X EVE；后续NEO不与该公开集混算","家庭移动操作、人机环境交互、世界模型预测","视频;平台动作;公开数据为向量量化视频","世界模型;策略评估;移动操作","企业内部遥操作与家庭/办公室采集","内部遥操作","未公开","未公开","公开向量量化视频+内部高分辨率格式","视频/动作序列","平台动作","100+公开；内部数千小时（作者报告）","未公开","企业fleet","多任务","","家庭与办公室","100+小时向量量化视频及基线公开；完整高分辨率集未开放","公开子集Apache-2.0；内部私有","https://www.1x.tech/discover/1x-world-model","","A","公开数据来自轮式EVE移动操作，是full-body对照而非双足核心；内部规模为作者报告","2026-09-01"
